"filename", "language", "Markdown", "YAML", "Java", "XML", "JSON", "Docker", "Java Properties", "JavaScript", "PostCSS", "HTML", "comment", "blank", "total"
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/backend/src/main/java/com/cinetrack/service/StatsService.java", "Java", 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 7, 29, 162
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/backend/src/main/java/com/cinetrack/service/TmdbService.java", "Java", 0, 0, 156, 0, 0, 0, 0, 0, 0, 0, 7, 23, 186
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/backend/src/main/java/com/cinetrack/service/UserService.java", "Java", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 14, 62
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/backend/src/main/java/com/cinetrack/service/ViewingRecordService.java", "Java", 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 37, 142
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/backend/src/main/java/com/cinetrack/service/WishlistService.java", "Java", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 22, 15, 101
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/backend/src/main/resources/application.yml", "YAML", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 53
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/backend/src/test/java/com/cinetrack/config/TestSecurityConfig.java", "Java", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/backend/src/test/java/com/cinetrack/controller/AuthControllerTest.java", "Java", 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 12, 31, 188
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/backend/src/test/java/com/cinetrack/service/UserServiceTest.java", "Java", 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 18, 28, 138
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/backend/src/test/java/com/cinetrack/service/ViewingRecordServiceTest.java", "Java", 0, 0, 175, 0, 0, 0, 0, 0, 0, 0, 28, 45, 248
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/docker-compose.yml", "YAML", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 68
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/README.md", "Markdown", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 71
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/package-lock.json", "JSON", 0, 0, 0, 0, 18536, 0, 0, 0, 0, 0, 0, 1, 18537
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/package.json", "JSON", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 1, 47
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/public/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 23, 1, 44
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/public/manifest.json", "JSON", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 6, 39
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/App.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 3, 125
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/App.test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 6, 7, 53
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/__mocks__/axios.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 11
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/__mocks__/react-router-dom.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 2, 37
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/components/auth/ProtectedRoute.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 4, 25
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/components/auth/ProtectedRoute.test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 6, 23, 112
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/components/layout/Navbar.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 311, 0, 0, 0, 16, 327
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/components/layout/Navbar.test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 4, 12, 75
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/context/AuthContext.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 2, 16, 109
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/context/AuthContext.test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 113, 0, 0, 11, 29, 153
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 3, 3, 18
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/index.test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 8, 11, 48
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/logo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/pages/Dashboard.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 334, 0, 0, 2, 22, 358
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/pages/Dashboard.test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 303, 0, 0, 9, 71, 383
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/pages/Home.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 430, 0, 0, 0, 22, 452
