"filename", "language", "Markdown", "YAML", "Java", "Shell Script", "MS SQL", "Java Properties", "Docker", "JavaScript", "XML", "JSON", "PostCSS", "HTML", "comment", "blank", "total"
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/pages/Theaters.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 403, 0, 0, 0, 0, 4, 41, 448
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/pages/UserProfile.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 375, 0, 0, 0, 0, 0, 34, 409
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/pages/UserSearch.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 258, 0, 0, 0, 0, 1, 22, 281
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/pages/UserViewingRecords.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 263, 0, 0, 0, 0, 0, 21, 284
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/pages/ViewingRecords.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 464, 0, 0, 0, 0, 0, 43, 507
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/pages/ViewingRecords.test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 355, 0, 0, 0, 0, 19, 102, 476
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/pages/Wishlist.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 687, 0, 0, 0, 0, 1, 42, 730
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/reportWebVitals.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/reportWebVitals.test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 5, 22, 100
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/setupTests.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 8, 4, 36
"/Users/tatsuyakondo/Documents/SALTO/cineTrack/start-dev.sh", "Shell Script", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 10, 13, 55
"Total", "-", 197, 140, 11202, 32, 7, 2, 10, 8992, 191, 18670, 45, 20, 1436, 4056, 45000
